Source;Target;Weight
@marcbertomeu;@podem_cat;30
@mayoralrafa;@catnoalttip;26
@mayoralrafa;@podem_cat;30
@subirats9;@bcnencomu;108
@caigueral;@alfredbosch;14
@alfredbosch;@ernestmaragall;196
@caigueral;@esquerra_erc;10
@alfredbosch;@esquerra_erc;905
@ernestmaragall;@esquerra_erc;23
@podem_cat;@oguardingo;13
@podem_cat;@josepbelg;13
@oguardingo;@josepbelg;14
@alfredbosch;@movesquerres;238
@alfredbosch;@bcnciutatoberta;277
@movesquerres;@bcnciutatoberta;268
@esquerra_erc;@junqueras;121
@esquerra_erc;@martarovira;76
@esquerra_erc;@oriolamoros;10
@esquerra_erc;@annasimo;13
@esquerra_erc;@joantarda;64
@junqueras;@martarovira;85
@junqueras;@oriolamoros;12
@junqueras;@annasimo;16
@junqueras;@joantarda;38
@junqueras;@alfredbosch;268
@martarovira;@oriolamoros;16
@martarovira;@annasimo;11
@martarovira;@joantarda;35
@martarovira;@alfredbosch;136
@oriolamoros;@annasimo;11
@oriolamoros;@joantarda;14
@oriolamoros;@alfredbosch;24
@annasimo;@joantarda;13
@annasimo;@alfredbosch;17
@joantarda;@alfredbosch;104
@marionaferr;@bcnencomu;28
@xaviertrias;@sonarplusd;48
@xaviertrias;@xavierboschg;17
@xaviertrias;@convergenciacat;66
@xaviertrias;@latinoscat;76
@xaviertrias;@afrocatalans;20
@xaviertrias;@marroccat;11
@angelcolom;@xavierboschg;12
@guinardoencomu;@adacolau;104
@guinardoencomu;@g_pisarello;62
@guinardoencomu;@mvidal80;73
@guinardoencomu;@bcnencomu;183
@adacolau;@g_pisarello;943
@adacolau;@mvidal80;387
@g_pisarello;@mvidal80;251
@mvidal80;@bcnencomu;384
@arvaldivia;@jaumecollboni;56
@capgirembcn;@desdeelmeubarri;10
@jordi_ferrer;@carinamejias;14
@jordi_ferrer;@leotaxil;13
@jordi_ferrer;@quinmanso;11
@sirereta;@antalcantara;12
@leotaxil;@alascort;30
@alascort;@quinmanso;28
@alascort;@carinamejias;32
@xriusenoticies;@albert_rivera;14
@xriusenoticies;@carinamejias;25
@xriusenoticies;@inesarrimadas;14
@xriusenoticies;@jordi_canyas;14
@enoticiescat;@albert_rivera;15
@enoticiescat;@carinamejias;20
@enoticiescat;@inesarrimadas;15
@enoticiescat;@jordi_canyas;15
@albert_rivera;@carinamejias;1127
@albert_rivera;@inesarrimadas;112
@albert_rivera;@jordi_canyas;55
@carinamejias;@inesarrimadas;158
@carinamejias;@jordi_canyas;39
@inesarrimadas;@jordi_canyas;21
@xaviertrias;@bcn_ajuntament;347
@pscsantandreu;@jaumecollboni;22
@jaumecollboni;@miqueliceta;82
@standreuencomu;@bcnencomu;273
@standreuencomu;@adacolau;200
@xaviertrias;@barcelonactiva;45
@catnoalttip;@carlesseijo;12
@podem_cat;@carlesseijo;25
@mayoralrafa;@carlesseijo;18
@_cafeambllet;@carlesseijo;34
@preescolar;@carnecrudaradio;20
@preescolar;@adacolau;23
@preescolar;@manuelacarmena;23
@preescolar;@sunotissima;11
@carnecrudaradio;@casiopeaexpres;13
@carnecrudaradio;@sunotissima;14
@adacolau;@casiopeaexpres;16
@adacolau;@sunotissima;34
@manuelacarmena;@casiopeaexpres;14
@manuelacarmena;@sunotissima;29
@casiopeaexpres;@sunotissima;10
@podem_cat;@podem_cat;12
@tonip44;@bcnencomu;103
@familianombrosa;@albertofdezxbcn;42
@familianombrosa;@raulsanchezfl;36
@albertofdezxbcn;@raulsanchezfl;37
@davidgr1714;@adacolau;263
@alfredbosch;@g6gracia;38
@galapita;@xaviertrias;18
@albertofdezxbcn;@eur;26
@davidcompanyon;@bcnencomu;48
@elsingular;@bcnencomu;90
@mazelmind;@xaviertrias;51
@albertofdezxbcn;@albiolalcalde_;126
@albertofdezxbcn;@manureyeslopez;71
@albiolalcalde_;@manureyeslopez;73
@cat_fac;@somelqcultivem;23
@somelqcultivem;@bcnencomu;11
@catdiuprou;@herrerajoan;64
@catdiuprou;@adacolau;183
@herrerajoan;@adacolau;606
@ricardgoma;@bcnencomu;214
@bcnencomu;@ainatarabini;33
@xaviertrias;@bcn_esports;80
@bcn_esports;@bcn_growth;14
@garganta_profun;@carinamejias;14
@janetsanz;@pah_bcn;32
@janetsanz;@xaviertrias;278
@xaviertrias;@xtomas;288
@clotencomu;@bcnencomu;86
@rblasi;@ujbcnciutat;18
@rblasi;@uniobcn;36
@ujbcnciutat;@uniobcn;24
@jozusu;@cambialogrono;13
@jozusu;@bcnencomu;13
@cambialogrono;@bcnencomu;26
@cambialogrono;@ahoramadrid;11
@ercbcn;@alfredbosch;1922
@pah_bcn;@bbva;37
@bcnencomu;@ganemosmadrid;56
@llopebre;@higiniaroig;36
@llopebre;@cupnacional;36
@llopebre;@pablo_iglesias_;36
@llopebre;@ahorapodemos;43
@llopebre;@podem_bcn;46
@llopebre;@tonialba;162
@llopebre;@raholaoficial;36
@higiniaroig;@cupnacional;91
@higiniaroig;@pablo_iglesias_;44
@higiniaroig;@ahorapodemos;39
@higiniaroig;@podem_bcn;54
@higiniaroig;@tonialba;37
@higiniaroig;@raholaoficial;48
@cupnacional;@pablo_iglesias_;38
@cupnacional;@ahorapodemos;64
@cupnacional;@podem_bcn;70
@cupnacional;@tonialba;37
@cupnacional;@raholaoficial;37
@pablo_iglesias_;@tonialba;38
@pablo_iglesias_;@raholaoficial;38
@ahorapodemos;@tonialba;38
@ahorapodemos;@raholaoficial;38
@podem_bcn;@tonialba;37
@podem_bcn;@raholaoficial;37
@tonialba;@raholaoficial;71
@giselopez20;@albertofdezxbcn;132
@pconstclot;@bcnencomu;135
@manelmora;@capgirembcn;14
@cuphortaguinard;@capgirembcn;124
@monicapalet;@janetsanz;11
@monicapalet;@xaviertrias;15
@alfredbosch;@jpuigcorbe;500
@luisfergegea;@jaumecollboni;94
@pepo_bcn;@jaumecollboni;55
@jrabassa;@adacolau;10
@adacolau;@manusimarro;12
@bordacoop;@canbatllo;10
