Source;Target;Tweet
588317821714755584;588299844722253825;RT @AlfredBosch: Demà a l'Escola Industrial exposaré el nostre projecte per fer una BCN lliure, justa i transparent. Us hi espero! http://t…
588328506917920768;587616355660255232;"RT @AdaColau: ""El primer gesto humano es el abrazo.. Así es la cosa, entre dos aleteos, sin más explicación, transcurre el viaje"" Un fuerte…"
588326494738472961;588243208796246016;RT @xaviertrias: Estem impulsant un gran Pacte de ciutat a favor d’un turisme responsable, un sector que genera el 12% del PIB de Barcelona…
588328084002185216;588299844722253825;RT @AlfredBosch: Demà a l'Escola Industrial exposaré el nostre projecte per fer una BCN lliure, justa i transparent. Us hi espero! http://t…
588328083989594113;588299844722253825;RT @AlfredBosch: Demà a l'Escola Industrial exposaré el nostre projecte per fer una BCN lliure, justa i transparent. Us hi espero! http://t…
588328084459417600;588299844722253825;RT @AlfredBosch: Demà a l'Escola Industrial exposaré el nostre projecte per fer una BCN lliure, justa i transparent. Us hi espero! http://t…
588328084467818496;588299844722253825;RT @AlfredBosch: Demà a l'Escola Industrial exposaré el nostre projecte per fer una BCN lliure, justa i transparent. Us hi espero! http://t…
588328084492910593;588299844722253825;RT @AlfredBosch: Demà a l'Escola Industrial exposaré el nostre projecte per fer una BCN lliure, justa i transparent. Us hi espero! http://t…
588343088634007552;588342604422631424;RT @jaumecollboni: A les 19h conversaré amb @lbassets sobre #Barcelona a #DiàlegsBCN de @FundErnestLluch i #FundacioRBA. En directe a http:…
588342798035906560;588342604422631424;RT @jaumecollboni: A les 19h conversaré amb @lbassets sobre #Barcelona a #DiàlegsBCN de @FundErnestLluch i #FundacioRBA. En directe a http:…
588342412428316673;588294957590511616;RT @AdaColau: #FaigPotComuPer tenir una candidatura independent dels bancs. Ajuda'ns a fer-ho possible! https://t.co/EP1fh1SNlF https://t.c…
588342107359858688;587624907166523392;RT @AlfredBosch: Ens hem donat la mà amb el socialisme sobiranista per governar aquesta ciutat. És l'hora de Barcelona! #AraBarcelona http:…
588341137695514624;588294957590511616;RT @AdaColau: #FaigPotComuPer tenir una candidatura independent dels bancs. Ajuda'ns a fer-ho possible! https://t.co/EP1fh1SNlF https://t.c…
588349287915991040;588342604422631424;RT @jaumecollboni: A les 19h conversaré amb @lbassets sobre #Barcelona a #DiàlegsBCN de @FundErnestLluch i #FundacioRBA. En directe a http:…
588357347434692608;588299844722253825;RT @AlfredBosch: Demà a l'Escola Industrial exposaré el nostre projecte per fer una BCN lliure, justa i transparent. Us hi espero! http://t…
588357472550780929;588351206252220418;RT @albertofdezxbcn: Apuesto por quienes han defendido su programa electoral de los anteriores comicios y lo pueden seguir defendiendo @eur…
588357250743410688;588351206252220418;RT @albertofdezxbcn: Apuesto por quienes han defendido su programa electoral de los anteriores comicios y lo pueden seguir defendiendo @eur…
588357282079059968;588351206252220418;RT @albertofdezxbcn: Apuesto por quienes han defendido su programa electoral de los anteriores comicios y lo pueden seguir defendiendo @eur…
588377257548390400;588362581741608960;RT @albertofdezxbcn: Como pasó con @AlbiolAlcalde_  y @manureyeslopez  #juntos #lamejorBarcelona #Municipales2015 http://t.co/o0cFXAYmWm
588377403279413248;588371440400863232;RT @jaumecollboni: Trias diu q sí a Ajuntament i CiU no a Parlament, no a recaptar el 100% de la taxa turística. Prou #BCN supeditada. http…
588376801417633792;588294957590511616;RT @AdaColau: #FaigPotComuPer tenir una candidatura independent dels bancs. Ajuda'ns a fer-ho possible! https://t.co/EP1fh1SNlF https://t.c…
588377124433752064;588364480364597249;RT @xaviertrias: L'esport, a Barcelona, dóna feina a 27.600 persones: http://t.co/gHViHHdSxS @BCN_esports @BCN_Growth
588375470388940800;587616355660255232;"RT @AdaColau: ""El primer gesto humano es el abrazo.. Así es la cosa, entre dos aleteos, sin más explicación, transcurre el viaje"" Un fuerte…"
588375886145126401;588276720706412544;"RT @xaviertrias: Seguim amb la presentació i balanç del clúster Ecommerce &amp; Tech Barcelona @BCN_Growth http://t.co/S9QkGwtYpB"
588375934484537344;588294957590511616;RT @AdaColau: #FaigPotComuPer tenir una candidatura independent dels bancs. Ajuda'ns a fer-ho possible! https://t.co/EP1fh1SNlF https://t.c…
588389699166806017;588351206252220418;RT @albertofdezxbcn: Apuesto por quienes han defendido su programa electoral de los anteriores comicios y lo pueden seguir defendiendo @eur…
588389717122547713;588362581741608960;RT @albertofdezxbcn: Como pasó con @AlbiolAlcalde_  y @manureyeslopez  #juntos #lamejorBarcelona #Municipales2015 http://t.co/o0cFXAYmWm
588390182447099904;588387816293400576;RT @xaviertrias: El principal tresor de Barcelona és la seva gent, que s'esforça, és generosa, solidària i somia #millorantbcn http://t.co/…
588396513866469376;588391372647989249;RT @albertofdezxbcn: Son los autores del 82% de iniciativas del total de la oposición estos cuatro años. http://t.co/OvqgeI4ciM @LaVanguard…
588395998017355776;588391372647989249;RT @albertofdezxbcn: Son los autores del 82% de iniciativas del total de la oposición estos cuatro años. http://t.co/OvqgeI4ciM @LaVanguard…
588396121732599808;588390157306454016;RT @jaumecollboni: A punt de començar la conversa amb @lbassets sobre #Barcelona #DialegsBCN http://t.co/To1h0w3cFW
588395734132719616;588391372647989249;RT @albertofdezxbcn: Son los autores del 82% de iniciativas del total de la oposición estos cuatro años. http://t.co/OvqgeI4ciM @LaVanguard…
588395389788823552;588391372647989249;RT @albertofdezxbcn: Son los autores del 82% de iniciativas del total de la oposición estos cuatro años. http://t.co/OvqgeI4ciM @LaVanguard…
588395470055198720;588391372647989249;RT @albertofdezxbcn: Son los autores del 82% de iniciativas del total de la oposición estos cuatro años. http://t.co/OvqgeI4ciM @LaVanguard…
588402424756445184;588362581741608960;RT @albertofdezxbcn: Como pasó con @AlbiolAlcalde_  y @manureyeslopez  #juntos #lamejorBarcelona #Municipales2015 http://t.co/o0cFXAYmWm
588402674619588609;588362581741608960;RT @albertofdezxbcn: Como pasó con @AlbiolAlcalde_  y @manureyeslopez  #juntos #lamejorBarcelona #Municipales2015 http://t.co/o0cFXAYmWm
588402807486750720;588332172043493376;RT @albertofdezxbcn: No estamos x grandes fichajes, sino x la experiencia, el rigor y el compromiso con BCN y sus barrios http://t.co/v0Oqk…
588401576844402688;588332172043493376;RT @albertofdezxbcn: No estamos x grandes fichajes, sino x la experiencia, el rigor y el compromiso con BCN y sus barrios http://t.co/v0Oqk…
588409749328285696;588351206252220418;RT @albertofdezxbcn: Apuesto por quienes han defendido su programa electoral de los anteriores comicios y lo pueden seguir defendiendo @eur…
588409378048454656;588404356535492608;"RT @AdaColau: ""@bcnencomu: Ja heu vist el video tan maco que hem fet EnComú?? #JoFaigPotComúPer https://t.co/EP1fh1SNlF https://t.co/NtqXWT…"
588409118727282688;588404356535492608;"RT @AdaColau: ""@bcnencomu: Ja heu vist el video tan maco que hem fet EnComú?? #JoFaigPotComúPer https://t.co/EP1fh1SNlF https://t.co/NtqXWT…"
588419238160965632;588362581741608960;RT @albertofdezxbcn: Como pasó con @AlbiolAlcalde_  y @manureyeslopez  #juntos #lamejorBarcelona #Municipales2015 http://t.co/o0cFXAYmWm
588433025672818688;588362581741608960;RT @albertofdezxbcn: Como pasó con @AlbiolAlcalde_  y @manureyeslopez  #juntos #lamejorBarcelona #Municipales2015 http://t.co/o0cFXAYmWm
588433096644698112;588391372647989249;RT @albertofdezxbcn: Son los autores del 82% de iniciativas del total de la oposición estos cuatro años. http://t.co/OvqgeI4ciM @LaVanguard…
588439731840622592;588294957590511616;RT @AdaColau: #FaigPotComuPer tenir una candidatura independent dels bancs. Ajuda'ns a fer-ho possible! https://t.co/EP1fh1SNlF https://t.c…
588440500518060032;588362581741608960;RT @albertofdezxbcn: Como pasó con @AlbiolAlcalde_  y @manureyeslopez  #juntos #lamejorBarcelona #Municipales2015 http://t.co/o0cFXAYmWm
588440500446765058;588362581741608960;RT @albertofdezxbcn: Como pasó con @AlbiolAlcalde_  y @manureyeslopez  #juntos #lamejorBarcelona #Municipales2015 http://t.co/o0cFXAYmWm
588439512126197760;588362581741608960;RT @albertofdezxbcn: Como pasó con @AlbiolAlcalde_  y @manureyeslopez  #juntos #lamejorBarcelona #Municipales2015 http://t.co/o0cFXAYmWm
588448998110834688;588387816293400576;RT @xaviertrias: El principal tresor de Barcelona és la seva gent, que s'esforça, és generosa, solidària i somia #millorantbcn http://t.co/…
588449198564986880;588387816293400576;RT @xaviertrias: El principal tresor de Barcelona és la seva gent, que s'esforça, és generosa, solidària i somia #millorantbcn http://t.co/…
588448034888888322;588404356535492608;"RT @AdaColau: ""@bcnencomu: Ja heu vist el video tan maco que hem fet EnComú?? #JoFaigPotComúPer https://t.co/EP1fh1SNlF https://t.co/NtqXWT…"
588448685953978368;588387816293400576;RT @xaviertrias: El principal tresor de Barcelona és la seva gent, que s'esforça, és generosa, solidària i somia #millorantbcn http://t.co/…
588479533378043904;588288848578408448;RT @xaviertrias: El sector TIC compta amb més de 40.000 treballadors i més de 2.000 empreses, un 12,8% i 13,5% més que al 2011. http://t.co…
588479685211910144;588246923091513344;RT @xaviertrias: Només les grans capitals mundials combinen oportunitat econòmica i qualitat de vida, i Barcelona és una d’elles. #TribunaC…
588479296513175552;588469979634335744;RT @toret: Esta semana @AdaColau y @bcnencomu los usuarios más mencionados en twitter en la batalla por la alcaldía de Barcelona http://t.c…
588487716217745409;588486283451879424;RT @CarinaMejias: Favoreceremos la agilidad  y simplificación en la gestión municipal de BCN mediante una mayor digitalización de los proce…
588488255911415809;588486283451879424;RT @CarinaMejias: Favoreceremos la agilidad  y simplificación en la gestión municipal de BCN mediante una mayor digitalización de los proce…
588581504151724032;587958167587401729;RT @jaumecollboni: #Barcelona pot fer molt més. El nostre pla econòmic http://t.co/X90Q4UKjYC #PlaCollboni http://t.co/MSGkOqojB8
588581524271828992;587963731121991680;RT @jaumecollboni: Moltes gràcies a totes les persones que han participat en la confecció del #PlaCollboni http://t.co/MiEn2MjFBd
588604336395001856;588603975676534784;RT @albertofdezxbcn: Representamos a los barceloneses q huyen de la estelada de Trias y de la izquierda radical de Colau http://t.co/L4F5wJ…
588603341514547200;588450380138225664;RT @toret: Votación-concurso de carteles-retratos de @AdaColau para la alcaldía por @bcnencomu x el maravilloso @mlg_barcelona https://t.co…
588603995775578112;588603975676534784;RT @albertofdezxbcn: Representamos a los barceloneses q huyen de la estelada de Trias y de la izquierda radical de Colau http://t.co/L4F5wJ…
588604065065500672;588603975676534784;RT @albertofdezxbcn: Representamos a los barceloneses q huyen de la estelada de Trias y de la izquierda radical de Colau http://t.co/L4F5wJ…
588637239627898880;588630121029849089;RT @xaviertrias: En una estona us presentarem el projecte de remodelació de la Travessera de Dalt, entre la plaça Lesseps i Escorial @BCN_H…
588645687627272193;588644322532335616;RT @xaviertrias: Aquesta setmana licitem les obres de la reforma de Travessera de Dalt entre Lesseps i Escorial: començaran al setembre i d…
588644723121901570;588644322532335616;RT @xaviertrias: Aquesta setmana licitem les obres de la reforma de Travessera de Dalt entre Lesseps i Escorial: començaran al setembre i d…
588644276470472704;588282584456650752;RT @albertofdezxbcn: Nunca mejor dicho, ayer debatiendo sobre cómo construir #lamejorBarcelona en @caminscat. ¡Muchas gracias, un placer! h…
588653352537477120;588603975676534784;RT @albertofdezxbcn: Representamos a los barceloneses q huyen de la estelada de Trias y de la izquierda radical de Colau http://t.co/L4F5wJ…
588653088355053568;588603975676534784;RT @albertofdezxbcn: Representamos a los barceloneses q huyen de la estelada de Trias y de la izquierda radical de Colau http://t.co/L4F5wJ…
588653093639839744;588649183550242816;RT @albertofdezxbcn: #juntos #lamejorBarcelona @larazon_es http://t.co/gt2vIm3EV2
588653357872652288;588649183550242816;RT @albertofdezxbcn: #juntos #lamejorBarcelona @larazon_es http://t.co/gt2vIm3EV2
588653543365677056;588651132085473280;"RT @MJLecha: La vaga, com a eina de lluita dels treballadors/es, amb la caixa de resistència, suport mutu http://t.co/C0yWPBHs8k
@HuelgaTot…"
588654659889430528;588649183550242816;RT @albertofdezxbcn: #juntos #lamejorBarcelona @larazon_es http://t.co/gt2vIm3EV2
588654738411020288;588649183550242816;RT @albertofdezxbcn: #juntos #lamejorBarcelona @larazon_es http://t.co/gt2vIm3EV2
588653868709445632;588603975676534784;RT @albertofdezxbcn: Representamos a los barceloneses q huyen de la estelada de Trias y de la izquierda radical de Colau http://t.co/L4F5wJ…
588653873931427841;588649183550242816;RT @albertofdezxbcn: #juntos #lamejorBarcelona @larazon_es http://t.co/gt2vIm3EV2
588652823912513536;588603975676534784;RT @albertofdezxbcn: Representamos a los barceloneses q huyen de la estelada de Trias y de la izquierda radical de Colau http://t.co/L4F5wJ…
588652829314777088;588649183550242816;RT @albertofdezxbcn: #juntos #lamejorBarcelona @larazon_es http://t.co/gt2vIm3EV2
588662729004752896;588649183550242816;RT @albertofdezxbcn: #juntos #lamejorBarcelona @larazon_es http://t.co/gt2vIm3EV2
588662824416710657;588658960728743937;RT @AlfredBosch: A les 19h t'espero a l'Escola Industrial. També podràs seguir la conferència EN DIRECTE a: http://t.co/oVdZWKRnxI http://t…
588662420127744000;588649183550242816;RT @albertofdezxbcn: #juntos #lamejorBarcelona @larazon_es http://t.co/gt2vIm3EV2
588661449620381696;588658960728743937;RT @AlfredBosch: A les 19h t'espero a l'Escola Industrial. També podràs seguir la conferència EN DIRECTE a: http://t.co/oVdZWKRnxI http://t…
588661183420489728;588658960728743937;RT @AlfredBosch: A les 19h t'espero a l'Escola Industrial. També podràs seguir la conferència EN DIRECTE a: http://t.co/oVdZWKRnxI http://t…
588661245894590464;588649183550242816;RT @albertofdezxbcn: #juntos #lamejorBarcelona @larazon_es http://t.co/gt2vIm3EV2
588277087435362305;588276720706412544;"RT @xaviertrias: Seguim amb la presentació i balanç del clúster Ecommerce &amp; Tech Barcelona @BCN_Growth http://t.co/S9QkGwtYpB"
588276207604670464;588269826461798402;RT @toret: Venga colabora con @bcnencomu y #FaigPotComúPer ganar Barcelona y ponerla al servicio de la gente! https://t.co/xZRrtJhkK1
588275792418840576;588123766108135424;RT @CarinaMejias: Haremos de Barcelona una ciudad de oportunidades y de empleo apostando por los emprendedores.
588276077375651840;588269826461798402;RT @toret: Venga colabora con @bcnencomu y #FaigPotComúPer ganar Barcelona y ponerla al servicio de la gente! https://t.co/xZRrtJhkK1
588275710743158785;588247482750087169;RT @xaviertrias: Faig una crida a totes aquelles persones que no volen que Barcelona s’aturi, faig una crida a a no deixar-se arrossegar. #…
588275778590212096;588124613441359872;RT @CarinaMejias: @gaab75  Si, también. Pero casi mejor trilingüe que cada día es más necesario con tanto visitante.
588289386040729600;588282584456650752;RT @albertofdezxbcn: Nunca mejor dicho, ayer debatiendo sobre cómo construir #lamejorBarcelona en @caminscat. ¡Muchas gracias, un placer! h…
588287641533214720;588240856588648448;RT @albertofdezxbcn: ¡Buenos días! A las 13h recordad la cita con lo compañer@s de @elmaticope de @cope_es. ¡Os espero para hablar de #lame…
588287657790287873;588282584456650752;RT @albertofdezxbcn: Nunca mejor dicho, ayer debatiendo sobre cómo construir #lamejorBarcelona en @caminscat. ¡Muchas gracias, un placer! h…
588288879402291200;588288848578408448;RT @xaviertrias: El sector TIC compta amb més de 40.000 treballadors i més de 2.000 empreses, un 12,8% i 13,5% més que al 2011. http://t.co…
588297765563801600;588294957590511616;RT @AdaColau: #FaigPotComuPer tenir una candidatura independent dels bancs. Ajuda'ns a fer-ho possible! https://t.co/EP1fh1SNlF https://t.c…
588297852725657600;588294957590511616;RT @AdaColau: #FaigPotComuPer tenir una candidatura independent dels bancs. Ajuda'ns a fer-ho possible! https://t.co/EP1fh1SNlF https://t.c…
588296606564409344;588295651592634368;RT @albertofdezxbcn: Os dejo la entrevista con @Equinoxradio de esta semana ¡Todo un placer! https://t.co/CofL53QvRl
588296621827477504;588295651592634368;RT @albertofdezxbcn: Os dejo la entrevista con @Equinoxradio de esta semana ¡Todo un placer! https://t.co/CofL53QvRl
588297468141514752;588295651592634368;RT @albertofdezxbcn: Os dejo la entrevista con @Equinoxradio de esta semana ¡Todo un placer! https://t.co/CofL53QvRl
588297494108450816;588294957590511616;RT @AdaColau: #FaigPotComuPer tenir una candidatura independent dels bancs. Ajuda'ns a fer-ho possible! https://t.co/EP1fh1SNlF https://t.c…
588296758347878400;588294957590511616;RT @AdaColau: #FaigPotComuPer tenir una candidatura independent dels bancs. Ajuda'ns a fer-ho possible! https://t.co/EP1fh1SNlF https://t.c…
588296808079691776;588282584456650752;RT @albertofdezxbcn: Nunca mejor dicho, ayer debatiendo sobre cómo construir #lamejorBarcelona en @caminscat. ¡Muchas gracias, un placer! h…
588296230813442048;588294957590511616;RT @AdaColau: #FaigPotComuPer tenir una candidatura independent dels bancs. Ajuda'ns a fer-ho possible! https://t.co/EP1fh1SNlF https://t.c…
588296271401787392;588294957590511616;RT @AdaColau: #FaigPotComuPer tenir una candidatura independent dels bancs. Ajuda'ns a fer-ho possible! https://t.co/EP1fh1SNlF https://t.c…
588296386577375232;588294957590511616;RT @AdaColau: #FaigPotComuPer tenir una candidatura independent dels bancs. Ajuda'ns a fer-ho possible! https://t.co/EP1fh1SNlF https://t.c…
588296391933460481;588294957590511616;RT @AdaColau: #FaigPotComuPer tenir una candidatura independent dels bancs. Ajuda'ns a fer-ho possible! https://t.co/EP1fh1SNlF https://t.c…
588296407645302784;588294957590511616;RT @AdaColau: #FaigPotComuPer tenir una candidatura independent dels bancs. Ajuda'ns a fer-ho possible! https://t.co/EP1fh1SNlF https://t.c…
588296411097276416;588294957590511616;RT @AdaColau: #FaigPotComuPer tenir una candidatura independent dels bancs. Ajuda'ns a fer-ho possible! https://t.co/EP1fh1SNlF https://t.c…
588307325506740225;588294957590511616;RT @AdaColau: #FaigPotComuPer tenir una candidatura independent dels bancs. Ajuda'ns a fer-ho possible! https://t.co/EP1fh1SNlF https://t.c…
588305482135293952;588300762268225536;"RT @albertofdezxbcn: Siempre la ""experiencia ha sido un grado"" y ahora parece que si aportas experiencia y rigor para #Barcelona sea algo m…"
588307537377828865;588301670351790080;RT @albertofdezxbcn: No me parece bien que @xaviertrias se reúna con inmigrantes para regalarles los oídos. Tienen derechos y obligaciones …
588306582225739776;588299844722253825;RT @AlfredBosch: Demà a l'Escola Industrial exposaré el nostre projecte per fer una BCN lliure, justa i transparent. Us hi espero! http://t…
588306796017745920;587624907166523392;RT @AlfredBosch: Ens hem donat la mà amb el socialisme sobiranista per governar aquesta ciutat. És l'hora de Barcelona! #AraBarcelona http:…
588305929935917058;588299844722253825;RT @AlfredBosch: Demà a l'Escola Industrial exposaré el nostre projecte per fer una BCN lliure, justa i transparent. Us hi espero! http://t…
588305932184133632;588295651592634368;RT @albertofdezxbcn: Os dejo la entrevista con @Equinoxradio de esta semana ¡Todo un placer! https://t.co/CofL53QvRl
588306999705755648;588300762268225536;"RT @albertofdezxbcn: Siempre la ""experiencia ha sido un grado"" y ahora parece que si aportas experiencia y rigor para #Barcelona sea algo m…"
588307004957003777;588301670351790080;RT @albertofdezxbcn: No me parece bien que @xaviertrias se reúna con inmigrantes para regalarles los oídos. Tienen derechos y obligaciones …
588305937510858752;588300762268225536;"RT @albertofdezxbcn: Siempre la ""experiencia ha sido un grado"" y ahora parece que si aportas experiencia y rigor para #Barcelona sea algo m…"
588305158758604800;588301670351790080;RT @albertofdezxbcn: No me parece bien que @xaviertrias se reúna con inmigrantes para regalarles los oídos. Tienen derechos y obligaciones …
588305201003634688;588295651592634368;RT @albertofdezxbcn: Os dejo la entrevista con @Equinoxradio de esta semana ¡Todo un placer! https://t.co/CofL53QvRl
588316721288769536;588294957590511616;RT @AdaColau: #FaigPotComuPer tenir una candidatura independent dels bancs. Ajuda'ns a fer-ho possible! https://t.co/EP1fh1SNlF https://t.c…
588315517020147713;588294957590511616;RT @AdaColau: #FaigPotComuPer tenir una candidatura independent dels bancs. Ajuda'ns a fer-ho possible! https://t.co/EP1fh1SNlF https://t.c…
588315765343944704;588294957590511616;RT @AdaColau: #FaigPotComuPer tenir una candidatura independent dels bancs. Ajuda'ns a fer-ho possible! https://t.co/EP1fh1SNlF https://t.c…
588315297754546176;588301670351790080;RT @albertofdezxbcn: No me parece bien que @xaviertrias se reúna con inmigrantes para regalarles los oídos. Tienen derechos y obligaciones …
588324406591627264;588294957590511616;RT @AdaColau: #FaigPotComuPer tenir una candidatura independent dels bancs. Ajuda'ns a fer-ho possible! https://t.co/EP1fh1SNlF https://t.c…
588324577580834816;588294957590511616;RT @AdaColau: #FaigPotComuPer tenir una candidatura independent dels bancs. Ajuda'ns a fer-ho possible! https://t.co/EP1fh1SNlF https://t.c…
