Tweet
"RT @MJLecha: La vaga, com a eina de lluita dels treballadors/es, amb la caixa de resistència, suport mutu http://t.co/C0yWPBHs8k
@HuelgaTot…"
RT @MJLecha: La Junta electoral ens dona la raó, no es poden gastar diners públics per fer campanya @xaviertrias @CapgiremBCN #Triasalasopa
RT @MJLecha: Aconseguirem aturar el TTIP, informació i lluita! avui s'ha donat un bon pas #OcuppyTTIP
RT @MJLecha: @SergiCastanye Proposta de tancament tal i com esta actualment
RT @MJLecha: Per un sou i una jornada de treball digne #HuelgaTotalMovistar la classe treballadora defensa els seus drets contra les multin…
RT @MJLecha: Cultura és tot, model social i revolució, creació, compromís i vanguardisme emancipador @CapgiremBCN
"RT @MJLecha: La Model ""enderrocada"" amb interns dins, Glories ""inaugurada"" en runes, quantes fotos necessita?..#TriasALaSopa  http://t.co/v…"
RT @MJLecha: @bequesmenjador @miquelgene @sindicabcn Esmorzar i dinar universal en tots els centres educatius, menjadors municipalitzats @C…
RT @MJLecha: S'enriqueixen a costa de la absoluta precarietat dels i les treballadores subcontractades #HuelgaTotalMovistar
RT @MJLecha: A Tries li queden 2 dies però vol signat tots els acords: T-Mobilitat (La Caixa) Part del Port (Iberpotash)...mirant pel futur…
RT @MJLecha: T- Mobilitat http://t.co/1Wu28fga2t
RT @MJLecha: Contra la precarització de les treballadores externes #ResistenciaMovistar
RT @MJLecha: Ànims i molta força als companys i companyes del col·lectiu d'ensenyament #JoanFuster
RT @MJLecha: Avui dia de la visibilitat lesbica #ContraLaLesbofòbia  #truiteraCJB
RT @MJLecha: L'articulació de la democracia participativa veïnal als barris és una peça fonamental del contrapoder popular @CapgiremBCN
RT @MJLecha: Arribant a la catarsi del malbaratament de diners públics a l'Ajuntament http://t.co/SRWBpkdpaf @SentitCritic @CapgiremBCN
RT @MJLecha: Avui la parada de CUP @CapgiremBCN ha recollit molt suport a les al•legacions contra el Consorci de Lleida #lasanitatnoesmerca…
RT @MJLecha: Recolçament i solidaritat als companys i companyes d Elencor Abentel, ens mostren el cami a seguir http://t.co/rG6qqMlNBz
